tip	date	distance	residual
t399_6.351766	6.351766	54.898341117300006	-27.873218881260357
t556_6.913682	6.913682	134.3983411173	45.19687695527355
t347_5.399693	5.399693	83.0483411173	11.171181966239345
t365_7.000000	7.0	85.66084111730001	-4.528344461418726
t392_7.000000	7.0	85.26240361730001	-4.926781961418726
t97_5.857716	5.857716	36.763705704	-40.354528616059625
t109_6.676495	6.676495	148.76370570400002	62.27632990895374
t187_6.925445	6.925445	84.390007779	-4.946058285579227
t584_5.302149	5.302149	84.829460904	14.068480277347163
t1490_6.558106	6.558106	62.845106287	-22.287565381435563
t1831_6.605939	6.605939	89.208742649	3.5287265272100683
t1725_7.000000	7.0	74.103847547	-16.085338031718734
t626_7.000000	7.0	59.25149711900001	-30.93768845971873
t2228_4.205173	4.205173	85.851497119	27.6430164204901
t1330_5.960366	5.960366	40.000000004	-38.29283988411569
t2203_3.854083	3.854083	0.0	-54.191020699593146
t1795_5.887509	5.887509	69.285714293	-8.173435990908573
t2301_6.499832	6.499832	80.07797281	-4.387879911792595
t2343_6.884347	6.884347	92.87797280999999	4.012183799838368
t1013_3.899694	3.899694	63.311306147	8.598366942150108
t2271_6.315021	6.315021	88.38375462299999	6.032661079366278
t2729_6.895419	6.895419	86.517087963	-2.4753959604545344
t2491_6.768635	6.768635	86.021849869	-1.5198674461698687
t1359_7.000000	7.0	98.765161472	8.575975893281267
t2559_6.344965	6.344965	87.37122207499999	4.677484701557503
t2458_5.840795	5.840795	86.03370901299999	9.109098665829578
t977_5.871828	5.871828	63.354069304	-13.925646104967633
t1089_6.722439	6.722439	54.33446522	-32.67863953967138
t1343_6.398031	6.398031	104.18061906	20.879656951297278
t1126_5.608017	5.608017	77.37518920000001	3.114215822346935
t853_5.274118	5.274118	53.85803234	-16.58219457327555
t1565_5.283182	5.283182	100.524699	29.980754357850998
t344_5.222962	5.222962	113.57109780399999	43.71623983801598
t862_6.488984	6.488984	123.348875583	39.00715458261287
t849_5.642354	5.642354	81.81482539800001	7.160939878210144
t656_5.764779	5.764779	61.441753866000006	-14.613019005657996
t1937_7.000000	7.0	74.69154423900001	-15.497641339718726
t2147_6.462947	6.462947	89.571544239	5.527759967063687
